"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"513","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:18:28,FALSE,NA,"1010512414733893632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","danielmarkavery",79,TRUE,FALSE,NA,NA
"514","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:18:01,FALSE,NA,"1010512302527975424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavidAmoyal",79,TRUE,FALSE,NA,NA
"515","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:17:59,FALSE,NA,"1010512291417280512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PascaleBientot",79,TRUE,FALSE,NA,NA
"516","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:17:22,FALSE,NA,"1010512137477873664",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","angeleslagos",79,TRUE,FALSE,NA,NA
"517","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:17:18,FALSE,NA,"1010512118330863616",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mikedeesfromhul",79,TRUE,FALSE,NA,NA
"518","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:17:08,FALSE,NA,"1010512079248228352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","hlmartn",79,TRUE,FALSE,NA,NA
"519","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:17:08,FALSE,NA,"1010512076509458432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PS641600",79,TRUE,FALSE,NA,NA
"520","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:16:49,FALSE,NA,"1010512000512921600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chelsea_murray",79,TRUE,FALSE,NA,NA
"521","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:16:29,FALSE,NA,"1010511913954918401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Giigii44",79,TRUE,FALSE,NA,NA
"522","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:16:22,FALSE,NA,"1010511883877715968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Juliopako",79,TRUE,FALSE,NA,NA
